,label
1801,family
1802,Petal
1803,Sacred
1804,lotus
1805,Text
1806,Violet
1807,Purple
1808,Lotus
1809,Flower
1810,Organism
1811,Text
1812,Font
1813,Line
1814,Face
1815,Hair
1816,Lip
1817,Eyebrow
1818,Nose
1819,Selfie
1820,Head
1821,Beauty
1822,Beanie
1823,Blond
1824,Modern
1825,art
1826,Yellow
1827,Painting
1828,Art
1829,Acrylic
1830,paint
1831,Visual
1832,arts
1833,Illustration
1834,Graphics
1835,Pattern
1836,Watercolor
1837,paint
1838,Event
1839,Fun
1840,Fashion
1841,Costume
1842,Party
1843,Theatrical
1844,property
1845,Performance
1846,Shoulder
1847,Standing
1848,Jeans
1849,T-shirt
1850,Arm
1851,Waist
1852,Joint
1853,Fashion
1854,Room
1855,Abdomen
1856,Microphone
1857,Audio
1858,equipment
1859,Microphone
1860,stand
1861,Technology
1862,Electronic
1863,device
1864,Singer
1865,Singing
1866,Photography
1867,Stock
1868,photography
1869,Monochrome
1870,Face
1871,Drawing
1872,Eyebrow
1873,Forehead
1874,Head
1875,Sketch
1876,Text
1877,Cheek
1878,Art
1879,Handwriting
1880,Football
1881,player
1882,Text
1883,Product
1884,Player
1885,Font
1886,Team
1887,Competition
1888,event
1889,Sky
1890,Team
1891,sport
1892,Championship
1893,Cartoon
1894,Illustration
1895,Cool
1896,Gesture
1897,Hand
1898,Glasses
1899,Animated
1900,cartoon
1901,Finger
1902,T-shirt
1903,Neck
1904,Text
1905,Font
1906,Document
1907,Paper
1908,Text
1909,Black
1910,Font
1911,Line
1912,Monochrome
1913,Number
1914,Illustration
1915,Paper
1916,Black-and-white
1917,Style
1918,Text
1919,Black
1920,Font
1921,Darkness
1922,Line
1923,Black-and-white
1924,Photography
1925,Monochrome
1926,photography
1927,Graphics
1928,Logo
1929,Text
1930,Font
1931,Black
1932,Line
1933,Sky
1934,Black-and-white
1935,Logo
1936,Photography
1937,Brand
1938,Graphics
1939,Text
1940,Font
1941,Line
1942,Brand
1943,Text
1944,White
1945,Font
1946,Line
1947,Logo
1948,Beige
1949,Hair
1950,Text
1951,Font
1952,Hairstyle
1953,Long
1954,hair
1955,Organism
1956,Photo
1957,caption
1958,Adaptation
1959,Happy
1960,Smile
1961,Text
1962,Font
1963,Black
1964,Line
1965,Organism
1966,Photo
1967,caption
1968,Photography
1969,Black-and-white
1970,Love
1971,Number
1972,Heat
1973,Flame
1974,Fire
1975,Text
1976,Human
1977,Font
1978,Organism
1979,Gas
1980,Photo
1981,caption
1982,Text
1983,Font
1984,Poster
1985,Rectangle
1986,Fish
1987,Fishing
1988,Fish
1989,Bass
1990,Cod
1991,Fisherman
1992,Recreation
1993,Striper
1994,bass
1995,Sound
1996,Ray-finned
1997,fish
1998,Black
1999,Leg
2000,Male
2001,Arm
2002,Muscle
2003,Hand
2004,Joint
2005,Thigh
2006,Fun
2007,Mouth
2008,Face
2009,Hair
2010,Lip
2011,Nose
2012,Blond
2013,Beauty
2014,Chin
2015,Eyebrow
2016,Hairstyle
2017,Cheek
2018,Text
2019,Photo
2020,caption
2021,Strength
2022,training
2023,Shoulder
2024,Physical
2025,fitness
2026,Strength
