,label
1775,Magenta
1776,Human
1777,leg
1778,Plant
1779,Leaf
1780,Hand
1781,Tree
1782,Flower
1783,Rose
1784,Photography
1785,Rose
1786,family
1787,Finger
1788,Petal
1789,Sky
1790,Cloud
1791,Landmark
1792,Atmospheric
1793,phenomenon
1794,Architecture
1795,Atmosphere
1796,Steeple
1797,Darkness
1798,Dome
1799,Spire
1800,Architecture
1801,Property
1802,Building
1803,Balcony
1804,Apartment
1805,Facade
1806,House
1807,Real
1808,estate
1809,Line
1810,Material
1811,property
1812,Screen
1813,Electronics
1814,Electronic
1815,device
1816,Technology
1817,Gadget
1818,Media
1819,Television
1820,Television
1821,set
1822,Multimedia
1823,Display
1824,device
1825,Red
1826,Text
1827,Font
1828,Organism
1829,Games
1830,Space
1831,Darkness
1832,Graphic
1833,design
1834,Heart
1835,Screenshot
1836,Finger
1837,Nail
1838,Hand
1839,Thumb
1840,Hair
1841,Face
1842,Lip
1843,Eyebrow
1844,Nose
1845,Red
1846,Beauty
1847,Selfie
1848,Cool
1849,Head
1850,Text
1851,Font
1852,Line
1853,Organism
1854,Document
1855,Text
1856,Font
1857,Black
1858,Line
1859,Organism
1860,Photography
1861,Darkness
1862,Black-and-white
1863,Photo
1864,caption
1865,Cartoon
1866,Bird
1867,Duck
1868,Text
1869,Fiction
1870,Ducks
1871,geese
1872,and
1873,swans
1874,Water
1875,bird
1876,Illustration
1877,Comics
1878,Fictional
1879,character
1880,Sky
1881,Cloud
1882,Air
1883,travel
1884,Atmosphere
1885,Atmospheric
1886,phenomenon
1887,Horizon
1888,Wing
1889,Airplane
1890,Airliner
1891,Sea
1892,Glitter
1893,Beauty
1894,Confetti
1895,Purple
1896,Fun
1897,Hand
1898,Fashion
1899,accessory
1900,Finger
1901,Nail
1902,Ornament
1903,Smoke
1904,Illustration
1905,Space
1906,Graphic
1907,design
1908,Leg
1909,Human
1910,leg
1911,Joint
1912,Foot
1913,Calf
1914,Ankle
1915,Summer
1916,Footwear
1917,Thigh
1918,Toe
1919,Text
1920,Font
1921,Logo
1922,Brand
1923,Graphics
1924,People
1925,Flag
1926,Photography
1927,Event
1928,Flag
1929,of
1930,the
1931,united
1932,states
1933,Photo
1934,caption
1935,Stock
1936,photography
1937,Holiday
1938,Gesture
1939,World
1940,Snow
1941,Photograph
1942,Winter
1943,Tree
1944,Black-and-white
1945,Snapshot
1946,Branch
1947,Monochrome
1948,Freezing
1949,Blizzard
1950,Eyewear
1951,Face
1952,Hair
1953,Glasses
1954,Lip
1955,Eyebrow
1956,Beauty
1957,Head
1958,Nose
1959,Lady
1960,Text
1961,Font
1962,Sky
1963,Illustration
1964,Design
1965,Night
1966,Art
1967,Graphic
1968,design
1969,Visual
1970,arts
1971,Graphics
1972,Sky
1973,Text
1974,Cloud
1975,Font
1976,Roof
1977,Atmosphere
1978,Meteorological
1979,phenomenon
1980,Adaptation
1981,Architecture
1982,Evening
1983,Text
1984,Font
1985,Document
1986,Face
1987,Text
1988,Font
1989,Line
1990,Smile
1991,Happy
1992,Violet
1993,Black
1994,Purple
1995,Text
1996,Darkness
1997,Light
1998,Font
1999,Graphic
2000,design
2001,Organism
2002,Logo
2003,Text
2004,Line
2005,Font
2006,Diagram
2007,Parallel
2008,Text
2009,Cartoon
2010,Violet
2011,Art
2012,Illustration
2013,Drawing
2014,Visual
2015,arts
2016,Smile
2017,Fictional
2018,character
2019,Painting
2020,Photograph
2021,Text
2022,Font
2023,Outerwear
2024,Suit
2025,Smile
2026,Photography
2027,Jacket
2028,Fictional
2029,character
2030,Photo
2031,caption
2032,Text
2033,Red
2034,Font
2035,Facial
2036,expression
2037,Nose
2038,Forehead
2039,Head
2040,Cheek
2041,Chin
2042,Eyebrow
2043,Text
2044,Cool
2045,Arm
2046,Text
2047,Sky
2048,Cloud
2049,Font
2050,Selfie
2051,Smile
2052,Square
2053,Happy
2054,Blue
2055,Light
2056,Backlighting
2057,Shadow
2058,Silhouette
2059,Darkness
2060,Photography
2061,Technology
2062,Room
2063,Electronic
2064,device
2065,Text
2066,Gentleman
2067,Album
2068,cover
2069,Forehead
2070,Font
2071,Photo
2072,caption
2073,Suit
2074,Photography
2075,White-collar
2076,worker
2077,Sky
2078,Cloud
2079,Sunset
2080,Afterglow
2081,Evening
2082,Horizon
2083,Morning
2084,Dusk
2085,Sunrise
2086,Atmosphere
2087,Text
2088,Font
2089,Line
2090,Organism
2091,Photo
2092,caption
2093,Number
2094,Text
2095,Font
2096,Photo
2097,caption
2098,Happy
2099,Smile
2100,Text
2101,Line
2102,Font
2103,Parallel
2104,Lip
2105,Nose
2106,Cheek
2107,Fashion
2108,accessory
2109,Wildflower
2110,Confectionery
2111,Confetti
2112,Smile
2113,Art
2114,Text
2115,Love
2116,Font
2117,Heart
2118,Pink
2119,Valentines
2120,day
2121,Logo
2122,Graphics
2123,Magenta
2124,Photo
2125,caption
2126,Animated
2127,cartoon
2128,Cartoon
2129,Animation
2130,Games
2131,Illustration
